'ADAL',"[0.650980392156863,0.411764705882353,0.619607843137255]"
'ADAR',"[0.650980392156863,0.411764705882353,0.619607843137255]"
'ADEL',"[0.988235294117647,0.329411764705882,0.254901960784314]"
'ADER',"[0.988235294117647,0.329411764705882,0.254901960784314]"
'ADFL',"[0,0,0]"
'ADFR',"[0,0,0]"
'ADLL',"[0.239215686274510,0.333333333333333,0.207843137254902]"
'ADLR',"[0.239215686274510,0.333333333333333,0.207843137254902]"
'AFDL',"[0.211764705882353,0.278431372549020,0.827450980392157]"
'AFDR',"[0.211764705882353,0.278431372549020,0.827450980392157]"
'AIAL',"[0.360784313725490,0.678431372549020,0.333333333333333]"
'AIAR',"[0.360784313725490,0.678431372549020,0.333333333333333]"
'AIBL',"[0.811764705882353,0.317647058823529,0.278431372549020]"
'AIBR',"[0.811764705882353,0.317647058823529,0.278431372549020]"
'AIML',"[0.819607843137255,0.352941176470588,0.411764705882353]"
'AIMR',"[0.819607843137255,0.352941176470588,0.411764705882353]"
'AINL',"[0.341176470588235,0.639215686274510,0.298039215686275]"
'AINR',"[0.341176470588235,0.639215686274510,0.298039215686275]"
'AIYL',"[0.490196078431373,0.952941176470588,0.400000000000000]"
'AIYR',"[0.490196078431373,0.952941176470588,0.400000000000000]"
'AIZL',"[0.552941176470588,0.333333333333333,0.482352941176471]"
'AIZR',"[0.552941176470588,0.333333333333333,0.482352941176471]"
'ALA',"[0.203921568627451,0.247058823529412,0.796078431372549]"
'ALML',"[1,1,0.490196078431373]"
'ALMR',"[1,1,0.490196078431373]"
'ALNL',"[0.478431372549020,0.376470588235294,0.243137254901961]"
'ALNR',"[0.478431372549020,0.376470588235294,0.243137254901961]"
'AQR',"[0.835294117647059,0.984313725490196,0.321568627450980]"
'AS1',"[0.196078431372549,0.639215686274510,0.200000000000000]"
'AS10',"[0.282352941176471,1,0.262745098039216]"
'AS11',"[0.266666666666667,0.988235294117647,0.360784313725490]"
'AS2',"[0.282352941176471,1,0.262745098039216]"
'AS3',"[0.282352941176471,1,0.262745098039216]"
'AS4',"[0.282352941176471,1,0.262745098039216]"
'AS5',"[0.282352941176471,1,0.262745098039216]"
'AS6',"[0.282352941176471,1,0.262745098039216]"
'AS7',"[0.282352941176471,1,0.262745098039216]"
'AS8',"[0.282352941176471,1,0.262745098039216]"
'AS9',"[0.282352941176471,1,0.262745098039216]"
'ASEL',"[0.231372549019608,0.323529411764706,0.582352941176471]"
'ASER',"[0.231372549019608,0.323529411764706,0.582352941176471]"
'ASGL',"[0.486274509803922,0.980392156862745,0.494117647058824]"
'ASGR',"[0.486274509803922,0.980392156862745,0.494117647058824]"
'ASHL',"[0.337254901960784,0.427450980392157,0.231372549019608]"
'ASHR',"[0.337254901960784,0.427450980392157,0.231372549019608]"
'ASIL',"[0.278431372549020,0.505882352941176,0.215686274509804]"
'ASIR',"[0.278431372549020,0.505882352941176,0.215686274509804]"
'ASJL',"[0.282352941176471,0.364705882352941,0.294117647058824]"
'ASJR',"[0.282352941176471,0.364705882352941,0.294117647058824]"
